,SMILES,logLD50,sigma,n_obs,SMILES_CANON,scaffold
491,CC(C(O)=O)C1=CC2=C(OCC3=CC=CC=C3C2=O)C=C1,2.113943352306837,0.001,1,CC(C(=O)O)c1ccc2c(c1)C(=O)c1ccccc1CO2,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce0a0>
492,CC(C(O)=O)C1=CC=C(C(F)=C1)C1=CC=CC=C1,2.0681858617461617,0.001,1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce110>
493,CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,1.8488047010518038,0.001,1,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce180>
494,CC(C(O)=O)C1=CC=C(C=C1)C1=CC=CC=C1F,2.5276299008713385,0.001,1,CC(C(=O)O)c1ccc(-c2ccccc2F)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce1f0>
495,CC(C(O)=O)C1=CC=C(C=C1)C1=CN2C=CC=CC2=N1,2.4653828514484184,0.001,1,CC(C(=O)O)c1ccc(-c2cn3ccccc3n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce260>
496,CC(C(O)=O)C1=CC=C(C=C1)N1C=C2C=CC=CC2=N1,3.1903316981702914,0.001,1,CC(C(=O)O)c1ccc(-n2cc3ccccc3n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce2d0>
498,CC(C(O)=O)C1=CC=C(OC2=NC=CS2)C=C1,2.130333768495006,0.001,1,CC(C(=O)O)c1ccc(Oc2nccs2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce3b0>
499,CC(C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(Cl)C=C1,2.0718820073061255,0.001,1,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce420>
500,CC(C(O)=O)C1=CC=C2OC3=CC=C(C)C=C3CC(=O)C2=C1,2.167317334748176,0.001,1,Cc1ccc2c(c1)CC(=O)c1cc(C(C)C(=O)O)ccc1O2,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce490>
502,CC(C(O)C1=CC=CC=C1)N(C)CCC#N,2.9731278535996988,0.001,1,CC(C(O)c1ccccc1)N(C)CCC#N,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce570>
503,CC(C)(Br)C(Br)=O,2.6989700043360187,1.3490930134746266,3,CC(C)(Br)C(=O)Br,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce5e0>
505,CC(C)(C(N)=O)C1=CC=CC=C1,3.2174839442139063,0.001,1,CC(C)(C(N)=O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce6c0>
506,CC(C)(C(O)=O)C1=CC=C(C=C1)C#CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,3.3010299956639813,0.001,1,CC(C)(C(=O)O)c1ccc(C#CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce730>
507,CC(C)(C(O)=O)S(C)(=O)=O,3.7558748556724915,0.001,1,CC(C)(C(=O)O)S(C)(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce7a0>
508,CC(C)(C)C#C,3.3010299956639813,1.001,1,C#CC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce810>
509,CC(C)(C)C(=O)C(Cl)Cl,3.113943352306837,0.001,1,CC(C)(C)C(=O)C(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fce880>
513,CC(C)(C)C(=O)CC#N,2.45178643552429,0.001,1,CC(C)(C)C(=O)CC#N,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcea40>
514,CC(C)(C)C(=O)CCC1=CC=C(Cl)C=C1,3.497620649781288,0.001,1,CC(C)(C)C(=O)CCc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fceab0>
515,CC(C)(C)C(=O)CCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,2.6580113966571126,0.001,1,CC(C)(C)C(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fceb20>
516,CC(C)(C)C(=O)CCl,2.7403626894942437,0.001,1,CC(C)(C)C(=O)CCl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fceb90>
517,CC(C)(C)C(=O)COC1=CC=C(Cl)C=C1,3.667452952889954,0.001,1,CC(C)(C)C(=O)COc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcec00>
518,CC(C)(C)C(=O)OCC(=O)C1=CC=CC=C1,4.0,1.001,1,CC(C)(C)C(=O)OCC(=O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcec70>
520,CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1,3.4734869700645685,0.8490422512021115,33,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fced50>
521,CC(C)(C)C(O)C(=C/C1=C(Cl)C=C(Cl)C=C1)N1C=NC=N1,2.6757783416740852,0.001,1,CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1Cl)n1cncn1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcedc0>
522,CC(C)(C)C(O)C(=C/C1=CC=C(Cl)C=C1)N1C=NC=N1,3.2528530309798933,0.001,1,CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1)n1cncn1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcee30>
523,CC(C)(C)C(O)C(OC1=CC=C(C=C1)C1=CC=CC=C1)N1C=NC=N1,3.6989700043360187,1.001,1,CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fceea0>
524,CC(C)(C)C(O)C=CC1=CC2=C(OCO2)C=C1,3.4771212547196626,1.001,1,CC(C)(C)C(O)C=Cc1ccc2c(c1)OCO2,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcef10>
525,CC(C)(C)C1=C(NC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,0.3010299956639812,0.001,1,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcef80>
526,CC(C)(C)C1=C(O)C=CC(CCC(O)=O)=C1,3.0,0.8095735675163721,3,CC(C)(C)c1cc(CCC(=O)O)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fceff0>
527,CC(C)(C)C1=C(O)C=CC=C1,2.770264839847804,0.8660716177564686,4,CC(C)(C)c1ccccc1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf060>
528,CC(C)(C)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,3.2147711735897166,0.008945297557866883,2,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf0d0>
529,CC(C)(C)C1=CC(=C(O)C(S)=C1)C(C)(C)C,3.499687082618404,1.001,1,CC(C)(C)c1cc(S)c(O)c(C(C)(C)C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf140>
530,CC(C)(C)C1=CC(=C(OP(OC2=CC=C(C=C2C(C)(C)C)C(C)(C)C)OC2=CC=C(C=C2C(C)(C)C)C(C)(C)C)C=C1)C(C)(C)C,3.7781512503836434,1.001,1,CC(C)(C)c1ccc(OP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)Oc2ccc(C(C)(C)C)cc2C(C)(C)C)c(C(C)(C)C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf1b0>
531,CC(C)(C)C1=CC(=C(OP2OCC3(CO2)COP(OC2=C(C=C(C=C2)C(C)(C)C)C(C)(C)C)OC3)C=C1)C(C)(C)C,3.7228021016367987,0.52483209730078,2,CC(C)(C)c1ccc(OP2OCC3(CO2)COP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)OC3)c(C(C)(C)C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf220>
532,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)C1=CC=CS1,3.2095150145426308,0.001,1,CC(C)(C)c1cc(C(=O)c2cccs2)cc(C(C)(C)C)c1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf290>
535,CC(C)(C)C1=CC(=CC2=CC=CC=C2)C=C(C1=O)C(C)(C)C,3.6989700043360187,1.001,1,CC(C)(C)C1=CC(=Cc2ccccc2)C=C(C(C)(C)C)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf3e0>
536,CC(C)(C)C1=CC(=CC=C1O)C(C)(CC(=O)OCCOC(=O)CC(C)(C1=CC(=C(O)C=C1)C(C)(C)C)C1=CC(=C(O)C=C1)C(C)(C)C)C1=CC(=C(O)C=C1)C(C)(C)C,4.176091259055681,1.001,1,CC(C)(C)c1cc(C(C)(CC(=O)OCCOC(=O)CC(C)(c2ccc(O)c(C(C)(C)C)c2)c2ccc(O)c(C(C)(C)C)c2)c2ccc(O)c(C(C)(C)C)c2)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf450>
537,CC(C)(C)C1=CC(C=C(C#N)C#N)=CC(=C1O)C(C)(C)C,1.9395192526186185,0.001,1,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf4c0>
538,CC(C)(C)C1=CC(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C,3.840620618687794,1.5405906230238124,2,CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf530>
540,CC(C)(C)C1=CC(CCC(=O)OCC(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C,3.6989700043360187,1.001,1,CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf610>
542,CC(C)(C)C1=CC(CN2C(=O)N(CC3=CC(=C(O)C(=C3)C(C)(C)C)C(C)(C)C)C(=O)N(CC3=CC(=C(O)C(=C3)C(C)(C)C)C(C)(C)C)C2=O)=CC(=C1O)C(C)(C)C,3.6989700043360187,1.001,1,CC(C)(C)c1cc(Cn2c(=O)n(Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c(=O)n(Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2=O)cc(C(C)(C)C)c1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf6f0>
543,CC(C)(C)C1=CC(CN2CCN(CC3=CC(=C(O)C(=C3)C(C)(C)C)C(C)(C)C)CC2)=CC(=C1O)C(C)(C)C,4.0,0.001,1,CC(C)(C)c1cc(CN2CCN(Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)CC2)cc(C(C)(C)C)c1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf760>
546,CC(C)(C)C1=CC2=C(N=C(N2)C(F)(F)F)C(Br)=C1,2.2068258760318495,0.001,1,CC(C)(C)c1cc(Br)c2nc(C(F)(F)F)[nH]c2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf8b0>
547,CC(C)(C)C1=CC2=C(OC(=N2)C2=CC=C(S2)C2=NC3=C(O2)C=CC(=C3)C(C)(C)C)C=C1,4.0,1.001,1,CC(C)(C)c1ccc2oc(-c3ccc(-c4nc5cc(C(C)(C)C)ccc5o4)s3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf920>
548,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1,3.6020599913279625,1.001,1,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcf990>
549,CC(C)(C)C1=CC=C(C=C1)C(O)=O,2.6748611407378116,0.001,1,CC(C)(C)c1ccc(C(=O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcfa00>
550,CC(C)(C)C1=CC=C(C=C1)C1=C2C(=O)NC(=C2C(=O)N1)C1=CC=C(C=C1)C(C)(C)C,3.3010299956639813,1.001,1,CC(C)(C)c1ccc(C2=C3C(=O)NC(c4ccc(C(C)(C)C)cc4)=C3C(=O)N2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcfa70>
552,CC(C)(C)C1=CC=C(O1)C(=O)OCC(Cl)(Cl)Cl,3.6020599913279625,0.001,1,CC(C)(C)c1ccc(C(=O)OCC(Cl)(Cl)Cl)o1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcfb50>
553,CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,3.4214393902200495,0.10974887337517059,5,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcfbc0>
554,CC(C)(C)C1=CC=C(OCC(O)COC2=CC=C(C=C2)C(O)=O)C=C1,3.380211241711606,0.001,1,CC(C)(C)c1ccc(OCC(O)COc2ccc(C(=O)O)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcfc30>
556,CC(C)(C)C1=CC=C(SCNC(=O)OC2=CC=CC3=C2OC(C)(C)C3)C=C1,2.0969100130080562,0.001,1,CC1(C)Cc2cccc(OC(=O)NCSc3ccc(C(C)(C)C)cc3)c2O1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcfd10>
557,CC(C)(C)C1=CC=C2OC(=NC2=C1)C1=CC=C(C=CC2=CC=C(C=C2)C2=CC=CC=C2)C=C1,3.6989700043360187,1.001,1,CC(C)(C)c1ccc2oc(-c3ccc(C=Cc4ccc(-c5ccccc5)cc4)cc3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcfd80>
558,CC(C)(C)C1=CC=CC=C1,3.4835872969688944,0.001,1,CC(C)(C)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcfdf0>
559,CC(C)(C)C1=NN=C(NS(=O)(=O)C2=CC=CC=C2)S1,2.6989700043360187,0.001,1,CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcfe60>
560,CC(C)(C)C1CCC(=O)CC1,3.3010299956639813,1.1764884244611276,3,CC(C)(C)C1CCC(=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcfed0>
561,CC(C)(C)C1CCC(CC1)C1=C(O)C(=O)C2=CC=CC=C2C1=O,3.0,1.001,1,CC(C)(C)C1CCC(C2=C(O)C(=O)c3ccccc3C2=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8fcff40>
562,CC(C)(C)C1CCC(CC1)OC(=O)OOC(=O)OC1CCC(CC1)C(C)(C)C,3.6989700043360187,1.001,1,CC(C)(C)C1CCC(OC(=O)OOC(=O)OC2CCC(C(C)(C)C)CC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040040>
563,CC(C)(C)C1CCC(CC2=C(O)C(=O)C3=CC=CC=C3C2=O)CC1,3.3010299956639813,1.001,1,CC(C)(C)C1CCC(CC2=C(O)C(=O)c3ccccc3C2=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d90400b0>
564,CC(C)(C)C1CCC(O)CC1,3.462139643030941,0.6621096473669595,2,CC(C)(C)C1CCC(O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040120>
565,CC(C)(C)CC(C)(C)C1=CC(N2N=C3C=CC=CC3=N2)=C(O)C(=C1)C(C)(C)C1=CC=CC=C1,3.3010299956639813,1.001,1,CC(C)(C)CC(C)(C)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040190>
566,CC(C)(C)CC(C)(C)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)CC(C)(C)C)C=C1,3.6989700043360187,0.001,1,CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040200>
567,CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,3.606381365110605,0.4932409907098132,3,CC(C)(C)CC(C)(C)c1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040270>
569,CC(C)(C)CC(C)(C)N,2.4955443375464483,0.10141990112603486,3,CC(C)(C)CC(C)(C)N,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040350>
570,CC(C)(C)CC(C)(C)S,1.7160033436347992,0.001,1,CC(C)(C)CC(C)(C)S,<rdkit.Chem.rdchem.Mol object at 0x7f64d90403c0>
571,CC(C)(C)CCCCC(=O)OC=C,3.6989700043360187,1.001,1,C=COC(=O)CCCCC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040430>
572,CC(C)(C)CCCCC(O)=O,3.315130317183602,0.001,1,CC(C)(C)CCCCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d90404a0>
573,CC(C)(C)CNC1=NN=C(C2=CC=CC=C2)C2=CC=CC=C12,3.9030899869919438,1.001,1,CC(C)(C)CNc1nnc(-c2ccccc2)c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040510>
574,CC(C)(C)COC(=O)NC1=CC=CO1,2.278753600952829,0.001,1,CC(C)(C)COC(=O)Nc1ccco1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040580>
575,CC(C)(C)N,1.7794262558492286,0.13697357936304122,2,CC(C)(C)N,<rdkit.Chem.rdchem.Mol object at 0x7f64d90405f0>
576,CC(C)(C)N(CCO)CCO,3.4340896384178907,0.001,1,CC(C)(C)N(CCO)CCO,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040660>
578,CC(C)(C)N(SC1=NC2=C(S1)C=CC=C2)SC1=NC2=C(S1)C=CC=C2,3.6989700043360187,1.001,1,CC(C)(C)N(Sc1nc2ccccc2s1)Sc1nc2ccccc2s1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040740>
579,CC(C)(C)N1CCC(CC1)(C1=CC=CC=C1)C1=CC=CC=C1,2.2174839442139063,0.001,1,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d90407b0>
580,CC(C)(C)N1N=CC(SCC2=CC=C(C=C2)C(C)(C)C)=C(Cl)C1=O,2.8986337704153584,0.14375891474286673,2,CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040820>
581,CC(C)(C)N=C(/NC#N)NC1=CN=CC=C1,2.444044795918076,0.001,1,CC(C)(C)N=C(NC#N)Nc1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040890>
582,CC(C)(C)N=NC(C)(C)O,2.5171958979499744,0.001,1,CC(C)(C)N=NC(C)(C)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040900>
584,CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1,2.8195439355418688,0.001,1,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d90409e0>
585,CC(C)(C)NCC(O)COC1=CC=CC2=C1CC(O)C(O)C2,3.724275869600789,0.001,1,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040a50>
586,CC(C)(C)NCCC(O)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,3.3201462861110542,0.001,1,CC(C)(C)NCCC(O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040ac0>
588,CC(C)(C)NCCOCCO,3.1664656375013864,0.03888833361835795,3,CC(C)(C)NCCOCCO,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040ba0>
589,CC(C)(C)NC[C@H](O)COC1=CC=CC=C1C1CCCC1,3.1020905255118367,0.001,1,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040c10>
590,CC(C)(C)O,3.4837298990000236,0.09240169759411287,5,CC(C)(C)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040c80>
591,CC(C)(C)OC(=O)C=C,3.0199466816788423,0.001,1,C=CC(=O)OC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040cf0>
592,CC(C)(C)OC(=O)N1CC(=O)C1,3.3979400086720375,0.001,1,CC(C)(C)OC(=O)N1CC(=O)C1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040d60>
594,CC(C)(C)OO,2.6783570302916972,0.13244373323199043,4,CC(C)(C)OO,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040e40>
596,CC(C)(C)OOC(C)(C)C,4.3979400086720375,1.001,1,CC(C)(C)OOC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040f20>
597,CC(C)(C)OOC(C)(C)C1=CC(=CC=C1)C(C)(C)OOC(C)(C)C,3.3010299956639813,1.001,1,CC(C)(C)OOC(C)(C)c1cccc(C(C)(C)OOC(C)(C)C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9040f90>
598,CC(C)(C)OOC(C)(C)C1=CC=CC=C1,3.6720978579357175,0.001,1,CC(C)(C)OOC(C)(C)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041000>
599,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,3.505149978319906,1.001,1,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041070>
600,CC(C)(C)OOC1(CCCCC1)OOC(C)(C)C,4.221492482051523,0.4190002116853879,3,CC(C)(C)OOC1(OOC(C)(C)C)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d90410e0>
601,CC(C)(C)OP(O)(=O)OC(C)(C)C,3.3010299956639813,1.001,1,CC(C)(C)OP(=O)(O)OC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041150>
603,CC(C)(C)[C@@H](O)C(=C/C1=C(Cl)C=C(Cl)C=C1)N1C=NC=N1,2.6757783416740852,0.001,1,CC(C)(C)[C@@H](O)C(=Cc1ccc(Cl)cc1Cl)n1cncn1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041230>
604,CC(C)(C)[C@H](O)C(=C/C1=CC=C(Cl)C=C1)N1C=NC=N1,2.6334684555795866,0.001,1,CC(C)(C)[C@H](O)C(=Cc1ccc(Cl)cc1)n1cncn1,<rdkit.Chem.rdchem.Mol object at 0x7f64d90412a0>
606,CC(C)(C)[C@H]1CC[C@@H](CC1)C1=C(O)C(=O)C2=CC=CC=C2C1=O,3.3010299956639813,1.001,1,CC(C)(C)[C@H]1CC[C@H](C2=C(O)C(=O)c3ccccc3C2=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041380>
607,CC(C)(C)[C@H]1CC[C@H](O)CC1,3.3010299956639813,1.001,1,CC(C)(C)[C@H]1CC[C@H](O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d90413f0>
608,CC(C)(C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1)C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1,3.3010299956639813,1.001,1,CC(C)(c1cc(Br)c(OCC(Br)CBr)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041460>
609,CC(C)(C1=CC(Br)=C(OCC=C)C(Br)=C1)C1=CC(Br)=C(OCC=C)C(Br)=C1,3.6989700043360187,1.001,1,C=CCOc1c(Br)cc(C(C)(C)c2cc(Br)c(OCC=C)c(Br)c2)cc1Br,<rdkit.Chem.rdchem.Mol object at 0x7f64d90414d0>
610,CC(C)(C1=CC(CC=C)=C(O)C=C1)C1=CC=C(O)C(CC=C)=C1,3.5,1.1999700043360186,2,C=CCc1cc(C(C)(C)c2ccc(O)c(CC=C)c2)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041540>
611,CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C1=CC(Cl)=C(O)C(Cl)=C1,3.871105700985585,0.001,1,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d90415b0>
613,CC(C)(C1=CC=C(OCCO)C=C1)C1=CC=C(OCCO)C=C1,3.3010299956639813,1.001,1,CC(C)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041690>
614,CC(C)(C1=CC=CC=C1)C(C)(C)C1=CC=CC=C1,3.5,1.1999700043360186,2,CC(C)(c1ccccc1)C(C)(C)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041700>
615,CC(C)(C1=CC=CC=C1)C1=CC(N2N=C3C=CC=CC3=N2)=C(O)C(=C1)C(C)(C)C1=CC=CC=C1,3.88930170250631,1.001,1,CC(C)(c1ccccc1)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041770>
616,CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1,3.3010299956639813,1.001,1,CC(C)(c1ccccc1)c1ccc(Nc2ccc(C(C)(C)c3ccccc3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d90417e0>
617,CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,3.247973266361807,0.001,1,CC(C)(c1ccccc1)c1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041850>
618,CC(C)(C1CCC(O)CC1)C1CCC(O)CC1,3.3010299956639813,1.001,1,CC(C)(C1CCC(O)CC1)C1CCC(O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d90418c0>
619,CC(C)(C1CCCO1)C1CCCO1,2.889075625191822,1.4129543704721592,2,CC(C)(C1CCCO1)C1CCCO1,<rdkit.Chem.rdchem.Mol object at 0x7f64d9041930>
